fips,Name,Lattitude,Longitude
31039,Cuming,41.9158651,-96.7885168
53069,Wahkiakum,46.2946377,-123.4244583
35011,De Baca,34.3592729,-104.3686961
31109,Lancaster,40.7835474,-96.6886584
31129,Nuckolls,40.1764918,-98.0468422
72085,Las Piedras,18.1871483,-65.871189
46099,Minnehaha,43.6674723,-96.7957261
48327,Menard,30.8843921,-99.8539616
6091,Sierra,39.5769252,-120.5219926
21053,Clinton,36.7272577,-85.1360977
39063,Hancock,41.0004711,-83.6660335
48189,Hale,34.0684364,-101.8228879
1027,Clay,33.2703999,-85.8635254
48011,Armstrong,34.964179,-101.3566363
39003,Allen,40.7716274,-84.1061032
13189,McDuffie,33.4796231,-82.4787331
55111,Sauk,43.4279976,-89.943329
5137,Stone,35.8570169,-92.140508
41063,Wallowa,45.593753,-117.1855796
42007,Beaver,40.6841401,-80.3507209
28061,Jasper,32.0169894,-89.1194302
29083,Henry,38.3864909,-93.7926278
8109,Saguache,38.0316514,-106.2346662
37037,Chatham,35.7049939,-79.2514542
49033,Rich,41.6275976,-111.2402269
40001,Adair,35.8980428,-94.6510258
39085,Lake,41.9241163,-81.3926429
51775,Salem,37.2853329,-80.0552407
51121,Montgomery,37.1755344,-80.3877913
47065,Hamilton,35.1607616,-85.1977114
35035,Otero,32.5887755,-105.7809799
35003,Catron,33.9018583,-108.3920882
1091,Marengo,32.2475911,-87.791091
56023,Lincoln,42.2299932,-110.6829614
29011,Barton,37.5007989,-94.3440893
48057,Calhoun,28.4417191,-96.5795739
51735,Poquoson,37.1283599,-76.3035337
54075,Pocahontas,38.332606,-80.0101207
48077,Clay,33.7859042,-98.2129174
51095,James City,37.3248367,-76.7778878
31101,Keith,41.1942448,-101.6444493
31137,Phelps,40.5163647,-99.4065568
22019,Calcasieu,30.2295588,-93.3580154
22111,Union,32.8293486,-92.3756501
40135,Sequoyah,35.5024345,-94.7507569
1049,DeKalb,34.460929,-85.803992
36101,Steuben,42.2667252,-77.3855253
42053,Forest,41.513304,-79.249705
22105,Tangipahoa,30.6215802,-90.4066329
51179,Stafford,38.4153998,-77.4548785
26109,Menominee,45.5382374,-87.4929489
18073,Jasper,41.0176883,-87.1188137
13025,Brantley,31.1973339,-81.9829779
13171,Lamar,33.0744605,-84.1467208
18151,Steuben,41.643467,-85.0024051
48361,Orange,30.1223229,-93.8940999
39047,Fayette,39.5552462,-83.4618927
25015,Hampshire,42.3394593,-72.6636936
21003,Allen,36.7507703,-86.192458
37001,Alamance,36.0439535,-79.4005733
20073,Greenwood,37.8793472,-96.2417321
25025,Suffolk,42.3385513,-71.018253
16051,Jefferson,43.7969649,-112.3185879
48177,Gonzales,29.4619121,-97.4919205
47115,Marion,35.1334215,-85.618399
26007,Alpena,44.894954,-83.4265739
21231,Wayne,36.8020113,-84.8304404
47185,White,35.9270486,-85.4557854
48147,Fannin,33.5911611,-96.1049882
20043,Doniphan,39.7885021,-95.1472253
48265,Kerr,30.059953,-99.3533388
12053,Hernando,28.5730426,-82.4662272
12129,Wakulla,30.1403575,-84.3751122
12131,Walton,30.6312106,-86.1766139
28017,Chickasaw,33.9216539,-88.9458075
2130,Ketchikan Gateway,55.4499378,-131.1066847
26035,Clare,43.9911368,-84.8383253
20157,Republic,39.8289103,-97.6509213
12127,Volusia,29.057769,-81.161792
40017,Canadian,35.54341,-97.9798435
72115,Quebradillas,18.466357,-66.9276025
78030,St. Thomas,18.3267484,-64.9712505
13115,Floyd,34.2636918,-85.2136851
32001,Churchill,39.53771,-118.2641654
31181,Webster,40.1806461,-98.4985897
17067,Hancock,40.4057924,-91.1679875
46067,Hutchinson,43.3367101,-97.7493828
41013,Crook,44.1630537,-120.3715849
50011,Franklin,44.8589643,-72.9094023
26103,Marquette,46.6565964,-87.5840278
9007,Middlesex,41.4330028,-72.5227802
37057,Davidson,35.7951312,-80.207107
17025,Clay,38.746832,-88.4823443
29103,Knox,40.1368559,-92.1468345
29117,Livingston,39.778587,-93.5482013
42117,Tioga,41.7668593,-77.2572881
31043,Dakota,42.3916449,-96.5613555
26089,Leelanau,45.1461816,-86.051574
51181,Surry,37.1197611,-76.8801717
48391,Refugio,28.3127162,-97.1613657
39017,Butler,39.4397469,-84.5657341
13273,Terrell,31.7771909,-84.4394464
13063,Clayton,33.5426863,-84.3555727
56013,Fremont,43.054831,-108.6089349
18115,Ohio,38.940527,-84.9642994
13073,Columbia,33.5476313,-82.2522957
8115,Sedgwick,40.8715679,-102.3553579
30065,Musselshell,46.5052807,-108.4397631
42043,Dauphin,40.4125646,-76.7926343
46101,Moody,44.0124293,-96.6760536
54079,Putnam,38.5105128,-81.906109
34037,Sussex,41.1374609,-74.6919141
20039,Decatur,39.783542,-100.4597084
18123,Perry,38.0814361,-86.6265397
28145,Union,34.4895325,-89.0023393
31015,Boyd,42.8944477,-98.7730221
27095,Mille Lacs,45.9290434,-93.6329964
38099,Walsh,48.3769789,-97.7222304
39115,Morgan,39.6249458,-81.8616967
39133,Portage,41.1688366,-81.197042
56041,Uinta,41.2847255,-110.5589468
